Track name, Artist name, Album, Playlist name, Type, ISRC
Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),A Boogie Wit da Hoodie,The Bigger Artist,Playlist 4,Playlist track,USAT21703538
Diamond Teeth Samurai,YoungBoy Never Broke Again,Until Death Call My Name (Reloaded),Playlist 4,Playlist track,USAT21800222
Matrix,Jerome,Matrix,Playlist 4,Playlist track,QZES71959211
League Him,Dot,League Him,Playlist 4,Playlist track,QZ22B2091109
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,Curtain Call (Deluxe),Playlist 4,Playlist track,USIR10211559
The Real Slim Shady,Eminem,The Marshall Mathers LP,Playlist 4,Playlist track,USIR10000448
Last Name (feat. Lil Durk),Future,Last Name (feat. Lil Durk),Playlist 4,Playlist track,USSM11914308
Radical,Future,Monster,Playlist 4,Playlist track,USSM11913506
In My Room,Frank Ocean,In My Room,Playlist 4,Playlist track,QM24S1926435
Minor Gangsters (Gully),Hare Squead,Minor Gangsters (Gully),Playlist 4,Playlist track,QZC5P1800113
King Of My City,A Boogie Wit da Hoodie,King Of My City,Playlist 4,Playlist track,USAT22000244
I Don't Sleep (ft. Takeoff),Lil Wayne,Funeral,Playlist 4,Playlist track,USUG12000377
WHATS POPPIN,Jack Harlow,WHATS POPPIN,Playlist 4,Playlist track,USAT22000162
GUESS WHAT (feat. Rick Ross),Russ,SHAKE THE SNOW GLOBE,Playlist 4,Playlist track,USSM11914598
Know You Know (ft. 2 Chainz),Lil Wayne,Funeral,Playlist 4,Playlist track,USUG12000378
Letter To Nipsey (feat. Roddy Ricch),Meek Mill,Letter To Nipsey (feat. Roddy Ricch),Playlist 4,Playlist track,USAT22000251
First Place,Polo G,First Place,Playlist 4,Playlist track,USQX92000259
Heart On Ice - Remix,Rod Wave,Ghetto Gospel,Playlist 4,Playlist track,USUYG1274698
Reply (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,Reply (feat. Lil Uzi Vert),Playlist 4,Playlist track,USAT21906590
Weekend (feat. Moneybagg Yo),Yo Gotti,Untrapped,Playlist 4,Playlist track,USSM12000535
Broke In A Minute,Tory Lanez,Broke In A Minute,Playlist 4,Playlist track,USUM72002126
FRIDAY,916frosty,FRIDAY,Playlist 4,Playlist track,UST8K1882747
Marty McFly,7ru7h,Oblivion,Playlist 4,Playlist track,QZFZ41928686
I Get the Bag (feat. Migos),Gucci Mane,Mr. Davis,Playlist 4,Playlist track,USAT21703179
"G.O.A.T Flow (feat. THEMXXNLIGHT) [Produced by Cardo, Co-Produced by ID Labs]",Wiz Khalifa,Fly Times Vol. 1: The Good Fly Young,Playlist 4,Playlist track,USAT21902553
Renegade (Freestyle),RAJAN,Renegade (Freestyle),Playlist 4,Playlist track,TCAEF1960553
Slippery (feat. Gucci Mane),Migos,Culture,Playlist 4,Playlist track,QMCE31600876
Notice Me,Migos,Culture II,Playlist 4,Playlist track,USUM71800988
Thug Love,A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000600
Cinderella Story,A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000601
Me and My Guitar,A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000602
Might Not Give Up (feat. Young Thug),A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000603
"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000604
Stain (feat. DaBaby),A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000610
Hit 'Em Up (feat. Trap Manny),A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000605
DTB 4 Life,A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000606
Calm Down (Bittersweet) [feat. Summer Walker],A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000607
Another Day Gone (feat. Khalid),A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000638
Good Girls Gone Bad,A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000608
Blood On My Denim,A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000609
R.O.D.,A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000612
Big Shit,A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000458
Right Back,A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000613
Luv Is Art (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000614
Streets Don't Love You,A Boogie Wit da Hoodie,Artist 2.0,Playlist 4,Playlist track,USAT22000616
Jungle,A Boogie Wit da Hoodie,Artist,Playlist 4,Playlist track,USAT21602426
Lottery (Renegade),K CAMP,Wayy 2 Kritical,Playlist 4,Playlist track,USUYG1247701
GANG GANG,JACKBOYS,JACKBOYS,Playlist 4,Playlist track,USSM11914990
California,Kota the Friend,California,Playlist 4,Playlist track,QZFZ22045149
Red Eye,YoungBoy Never Broke Again,"Still Flexin, Still Steppin",Playlist 4,Playlist track,USAT22000654
Call Me Late,YoungBoy Never Broke Again,"Still Flexin, Still Steppin",Playlist 4,Playlist track,USAT22000661
Gunsmoke,YoungBoy Never Broke Again,"Still Flexin, Still Steppin",Playlist 4,Playlist track,USAT22000662
Get Ugly,Lil Baby,My Turn,Playlist 4,Playlist track,USUG12000041
Heatin Up (feat. Gunna),Lil Baby,My Turn,Playlist 4,Playlist track,USUG12000045
How,Lil Baby,My Turn,Playlist 4,Playlist track,USUG12000047
Live Off My Closet (feat. Future),Lil Baby,My Turn,Playlist 4,Playlist track,USUG12000060
Commercial (feat. Lil Uzi Vert),Lil Baby,My Turn,Playlist 4,Playlist track,USUG12000062
PTSD,G Herbo,PTSD,Playlist 4,Playlist track,QZ57A2005612
Baby Pluto,Lil Uzi Vert,Eternal Atake,Playlist 4,Playlist track,USAT22001354
KIKA,6ix9ine,DUMMY BOY,Playlist 4,Playlist track,QMEU31821969
Red Roses - LIOHN's Tokyo Drift Remix,Lil Skies,Red Roses (LIOHN's Tokyo Drift Remix),Playlist 4,Playlist track,USAT21804325
"Down Like That (feat. Rick Ross, Lil Baby & S-X)",KSI,"Down Like That (feat. Rick Ross, Lil Baby & S-X)",Playlist 4,Playlist track,QMRSZ1902347
Hocus Pocus,DJ Kay Slay,Hocus Pocus,Playlist 4,Playlist track,USKO11900413
Cap (feat. Lil Durk),Fabolous,Summertime Shootout 3: Coldest Summer Ever,Playlist 4,Playlist track,USUM71923108
Forgot About Dre,Dr. Dre,2001,Playlist 4,Playlist track,USIR19915077
Malfunction,Lil Uzi Vert,Luv Is Rage 2,Playlist 4,Playlist track,USAT21703438
Pull Up (feat. Lil Uzi Vert),Wiz Khalifa,Pull Up (feat. Lil Uzi Vert),Playlist 4,Playlist track,USAT21601765
UnFazed (feat. The Weeknd),Lil Uzi Vert,Luv Is Rage 2,Playlist 4,Playlist track,USAT21703434
Kush - Main,Dr. Dre,Kush,Playlist 4,Playlist track,USUM71028121
California Love - Original Version,2Pac,The Best of 2Pac,Playlist 4,Playlist track,USUG10702628
The Next Episode,Dr. Dre,2001,Playlist 4,Playlist track,USIR19915078
Crack A Bottle,Eminem,Relapse: Refill,Playlist 4,Playlist track,USUM70964942
Still D.R.E.,Dr. Dre,2001,Playlist 4,Playlist track,USIR19905031
Something More,Smirk,Something More,Playlist 4,Playlist track,QZHNC1901925
Flya Than a Runway,Winn,Block Baby,Playlist 4,Playlist track,QZBJP1900002
Sober,Mida$,Sober,Playlist 4,Playlist track,QZES81804817
Walk Em Down (feat. Roddy Ricch),NLE Choppa,Walk Em Down (feat. Roddy Ricch),Playlist 4,Playlist track,USWB12000247
Cardigan,Don Toliver,Heaven Or Hell,Playlist 4,Playlist track,USAT22000786
Heart On Ice,Rod Wave,PTSD,Playlist 4,Playlist track,USUYG1257043
Barbarian (feat. Lil Tjay),Calboy,Barbarian (feat. Lil Tjay),Playlist 4,Playlist track,USRC12000527
Will,Joyner Lucas,Will,Playlist 4,Playlist track,QM4TX2075630
Mockingbird,Eminem,Curtain Call (Deluxe),Playlist 4,Playlist track,USIR10400813
Stepping Stone,Eminem,Kamikaze,Playlist 4,Playlist track,USUM71813338
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,Music To Be Murdered By,Playlist 4,Playlist track,USUM72000784
Turks (feat. Travis Scott),NAV,Turks,Playlist 4,Playlist track,USUM72003472
Some Way,NAV,NAV,Playlist 4,Playlist track,USUM71701371
Myself,NAV,NAV,Playlist 4,Playlist track,USUM71701686
Up,NAV,NAV,Playlist 4,Playlist track,USUM71701697
Call Me,NAV,Perfect Timing,Playlist 4,Playlist track,USUG11701084
Held Me Down,NAV,Perfect Timing,Playlist 4,Playlist track,USUG11701139
Do The Most,Tory Lanez,Do The Most,Playlist 4,Playlist track,USUM72006468
Is Everybody Going Crazy?,Nothing But Thieves,Is Everybody Going Crazy?,Playlist 4,Playlist track,GBARL2000130
