Track name, Artist name, Album, Playlist name, Type, ISRC
City on My Back,Lil Tjay,State of Emergency,Playlist 4,Playlist track,USSM12002267
My City,Lil Tjay,State of Emergency,Playlist 4,Playlist track,USSM12002270
Gettin Lit,Lil Tjay,State of Emergency,Playlist 4,Playlist track,USSM12002268
Fake Hugs,Yung Pinch,Summers Over EP,Playlist 4,Playlist track,USLD91721420
Bring Me Down,Yung Pinch,4everheartbroke,Playlist 4,Playlist track,TCADQ1834119
Man in the Mirror,Yung Pinch,4EVERFRIDAY SZN ONE,Playlist 4,Playlist track,TCADB1765340
When I Get Home (Hotel California),Yung Pinch,When I Get Home (Hotel California),Playlist 4,Playlist track,USSM11807831
Empresario,KHEA,Empresario,Playlist 4,Playlist track,CA5KR1840306
Don’t Fall 4 It,Yung Pinch,Summers Over EP,Playlist 4,Playlist track,USLD91721419
2nd Thoughts,Yung Pinch,714Ever,Playlist 4,Playlist track,USUYG1153991
11:11,Yung Pinch,4EVERHEARTBROKE 4,Playlist 4,Playlist track,USLD91724371
Here We Go Again,Yung Pinch,714Ever,Playlist 4,Playlist track,USUYG1153978
Castaway,Yung Pinch,Castaway,Playlist 4,Playlist track,USSM11807204
W (feat. Gunna),Koffee,W (feat. Gunna),Playlist 4,Playlist track,GBARL1901308
Bad Lil Vibe (feat. Jeremih),KSI,Dissimulation,Playlist 4,Playlist track,QMRSZ2000909
How It Feel,KSI,Dissimulation,Playlist 4,Playlist track,QMRSZ2000910
Alone,Of Virtue,What Defines You,Playlist 4,Playlist track,DED831900164
IV. Sweatpants,Childish Gambino,Because the Internet,Playlist 4,Playlist track,USYAH1300223
Hammer Time (feat. 1K Phew),Lecrae,All Things Work Together,Playlist 4,Playlist track,USSM11704469
Whole 9,Flame,Revival,Playlist 4,Playlist track,TCACN1692806
The Bigger Picture,Lil Baby,The Bigger Picture,Playlist 4,Playlist track,USUG12001660
VULTURES CRY 2 (feat. WizDaWizard and Mike Smiff),Kodak Black,VULTURES CRY 2 (feat. WizDaWizard and Mike Smiff),Playlist 4,Playlist track,USAT22003782
Pretty Girls,iann dior,I'm Gone,Playlist 4,Playlist track,QZJ842000282
Tommy Lee (feat. Post Malone),Tyla Yaweh,Tommy Lee (feat. Post Malone),Playlist 4,Playlist track,USSM12003633
WELFARE (feat. Westside Gunn),RMR,DRUG DEALING IS A LOST ART,Playlist 4,Playlist track,USWB12001674
Get Up,T-Pain,Get Up,Playlist 4,Playlist track,USUYG1317511
Heartbroken,Yungeen Ace,Heartbroken,Playlist 4,Playlist track,QMKSC1901137
Leave Me On Read,YK Osiris,Leave Me On Read,Playlist 4,Playlist track,USUM72010765
"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",H.E.R.,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",Playlist 4,Playlist track,USRC12000150
Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,Hoodie SZN,Playlist 4,Playlist track,USAT21812920
Bleed,A Boogie Wit da Hoodie,Bleed,Playlist 4,Playlist track,USAT22003774
Say A',A Boogie Wit da Hoodie,The Bigger Artist,Playlist 4,Playlist track,USAT21703674
Up to Something,Smirk,Up to Something,Playlist 4,Playlist track,QZDA52039590
The Smartest Intro,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000268
I Apologize,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000269
Trenches (feat. Big Sean),Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000270
Rap A Lot,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000271
The Funeral,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000272
No Witness,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000274
Picture of My City,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000275
Covid (feat. Lil Baby),Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000276
Timeless,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000277
Everything,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000279
Double Standards,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000280
Daylight,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000281
Winning,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE32000282
Satish,Tee Grizzley,The Smartest,Playlist 4,Playlist track,QMCE31902459
First Day Out,Tee Grizzley,My Moment,Playlist 4,Playlist track,TCACT1656901
From The D To The A (feat. Lil Yachty),Tee Grizzley,From The D To The A (feat. Lil Yachty),Playlist 4,Playlist track,QMCE31700982
Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),Tee Grizzley,Scriptures,Playlist 4,Playlist track,QMCE31902254
